NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,704,2022,080529,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080540,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080550,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,080590,01I,   ,     32.00,     32.00,     32.00,     32.00,1,1,0,0
H5,704,2022,080610,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080620,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080711,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080719,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080720,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080810,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080830,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080840,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080910,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080921,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080929,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080930,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080940,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,081010,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081020,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081030,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081040,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081050,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081060,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081070,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,081090,01I,   ,      0.00,      0.00,      0.00,      0.00,12,12,0,0
H5,704,2022,081110,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
