NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,036,2022,392330,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392340,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392350,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392390,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392410,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392490,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392510,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392520,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392530,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392590,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392610,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392620,152,   ,      0.00,      0.00,      0.00,      0.00,4,3,1,0
H6,036,2022,392630,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,392640,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392690,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,400211,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400219,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400220,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400231,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400239,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400241,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400249,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400251,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400259,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400270,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400280,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400291,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400299,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400300,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400400,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400510,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400520,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400591,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400599,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400610,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400690,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400700,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400811,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400819,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400821,152,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,400829,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400911,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,961210,598,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,961220,598,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,961380,598,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,961511,598,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,961590,598,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,961900,598,   ,      0.00,      0.00,      0.00,      0.00,9,7,2,0
H6,036,2022,962000,598,   ,      0.00,      0.00,      0.00,      0.00,9,5,4,0
H6,036,2022,040320,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,040520,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,040610,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,040620,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,040630,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,040640,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,040690,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,051199,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,070951,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,070952,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,070953,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
