NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,554,2022,845612,124,   ,      0.00,      0.00,      0.00,      0.00,7,2,5,0
H6,554,2022,845620,124,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,845630,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845640,124,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,845650,124,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,845690,124,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,554,2022,845710,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845720,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845730,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845811,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845819,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845891,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845899,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845910,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845921,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845929,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845931,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845939,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845941,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845949,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845951,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845959,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845961,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845969,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,845970,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846012,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846019,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846022,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846023,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846024,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846029,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846031,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846039,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846040,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846090,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846120,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846130,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846140,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846150,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846190,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846211,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846219,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846222,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846223,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,846224,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851632,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851633,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851640,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851660,00Z,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
H6,554,2022,851671,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,851672,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851679,00Z,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
