NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,458,2018,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010130,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010190,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010229,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,458,2018,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010239,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010290,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2018,010391,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,458,2018,010392,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,458,2018,010410,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010420,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010511,     20.00,      0.00,     20.00,     10.00,0,1,0,1,2,2
H5,458,2018,010512,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010513,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010514,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010515,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010594,     40.00,      0.00,     20.00,      8.00,0,3,0,2,5,5
H5,458,2018,010599,      0.00,      0.00,      0.00,      0.00,0,4,0,0,4,4
H5,458,2018,010611,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010612,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010613,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010614,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010619,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010620,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010631,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010632,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010633,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010639,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010641,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010649,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,010690,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2018,020110,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
