NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,458,2017,848690,      0.00,      0.00,      0.00,      0.00,0,31,0,0,31,31
H5,458,2017,848710,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,848790,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850110,      0.00,      0.00,      0.00,      0.00,0,11,0,0,11,11
H5,458,2017,850120,      0.00,      0.00,      0.00,      0.00,0,4,0,0,4,4
H5,458,2017,850131,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,458,2017,850132,      0.00,      0.00,      0.00,      0.00,0,6,0,0,6,6
H5,458,2017,850133,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850134,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850140,      0.00,      0.00,      0.00,      0.00,0,4,0,0,4,4
H5,458,2017,850151,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850152,     90.00,     15.00,     15.00,     15.00,0,0,0,6,6,6
H5,458,2017,850153,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850161,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850162,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850163,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850164,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850211,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850212,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850213,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850220,      0.00,      0.00,      0.00,      0.00,0,5,0,0,5,5
H5,458,2017,850231,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850239,      0.00,      0.00,      0.00,      0.00,0,4,0,0,4,4
H5,458,2017,850240,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850300,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850410,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,458,2017,850421,     25.00,      5.00,      5.00,      5.00,0,0,0,5,5,5
H5,458,2017,850422,     25.00,      5.00,      5.00,      5.00,0,0,0,5,5,5
H5,458,2017,850423,     20.00,      5.00,      5.00,      5.00,0,0,0,4,4,4
H5,458,2017,850431,     10.00,      0.00,      5.00,      0.67,0,13,0,2,15,15
H5,458,2017,850432,     35.00,      0.00,      5.00,      4.38,0,1,0,7,8,8
H5,458,2017,850433,     20.00,      5.00,      5.00,      5.00,0,0,0,4,4,4
H5,458,2017,850434,     60.00,      5.00,      5.00,      5.00,0,0,0,12,12,12
H5,458,2017,850440,      0.00,      0.00,      0.00,      0.00,0,6,0,0,6,6
H5,458,2017,850450,      0.00,      0.00,      0.00,      0.00,0,5,0,0,5,5
H5,458,2017,850490,      0.00,      0.00,      0.00,      0.00,0,7,0,0,7,7
H5,458,2017,850511,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850519,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850520,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850590,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850610,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,458,2017,850630,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850640,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,458,2017,850650,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
