NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,096,2022,440799,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,440810,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,440831,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440839,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,440890,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,440910,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440921,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440922,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440929,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441011,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441012,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441019,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441090,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441210,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441231,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441233,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441234,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441294,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441299,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,096,2022,441300,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441600,156,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,096,2022,441850,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441860,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441873,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,441874,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441875,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441879,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441891,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,441899,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,442191,156,   ,      0.00,      0.00,      0.00,      0.00,7,1,6,0
H5,096,2022,442199,156,   ,      0.00,      0.00,      0.00,      0.00,11,2,9,0
H5,096,2022,460121,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,460122,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,460129,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,460199,156,   ,      0.00,      0.00,      0.00,      0.00,4,1,3,0
H5,096,2022,590210,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,096,2022,590220,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,590290,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,590310,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,590320,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,590390,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,590410,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,590490,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,590691,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,590699,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,590700,156,   ,      0.00,      0.00,      0.00,      0.00,6,5,1,0
H5,096,2022,630110,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630120,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630130,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630140,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630190,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630210,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630221,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630222,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630229,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630231,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630232,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630240,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630251,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630253,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630259,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630293,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630312,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630319,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,630391,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630392,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630399,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630411,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630419,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,630420,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630491,156,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,096,2022,630492,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630493,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630499,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,630619,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,630629,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
