NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,124,2022,691190,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691200,352,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,124,2022,691310,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691390,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,691410,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,691490,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,702000,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,711311,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,711319,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,711320,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,711411,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711419,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711420,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711610,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711620,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,711711,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711719,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,711790,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,711810,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,730230,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,730729,352,   ,      0.00,      0.00,      0.00,      0.00,4,1,3,0
H6,124,2022,731520,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,731600,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,731940,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,731990,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,732111,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,732112,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732119,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,732181,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732182,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732189,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732190,352,   ,      0.00,      0.00,      0.00,      0.00,7,5,2,0
H6,124,2022,732211,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732219,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732290,352,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
