NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,704,2017,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,704,2017,010129,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010130,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H4,704,2017,010190,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,704,2017,010229,     10.00,      5.00,      5.00,      5.00,0,0,0,2,2,2
H4,704,2017,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,704,2017,010239,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010290,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H4,704,2017,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,704,2017,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010410,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H4,704,2017,010420,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H4,704,2017,010511,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,704,2017,010512,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,704,2017,010513,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,704,2017,010514,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,704,2017,010515,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,704,2017,010594,     25.00,      0.00,     10.00,      6.25,0,1,0,3,4,4
H4,704,2017,010599,     10.00,      0.00,      5.00,      2.50,0,2,0,2,4,4
H4,704,2017,010611,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010612,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010613,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010614,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010619,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010620,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010631,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010632,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010633,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010639,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010641,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010649,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,010690,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H4,704,2017,020120,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,020130,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H4,704,2017,020210,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,020220,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,020230,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H4,704,2017,020311,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,704,2017,020312,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,704,2017,020319,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,704,2017,020321,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020322,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020329,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020410,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020421,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020422,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020423,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020430,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020441,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020442,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020443,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020450,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H4,704,2017,020500,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020610,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020621,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020622,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020629,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020630,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020641,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020649,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H4,704,2017,020680,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020690,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020711,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020712,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020713,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020714,    100.00,     20.00,     20.00,     20.00,0,0,0,5,5,5
H4,704,2017,020724,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020725,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020726,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020727,     60.00,     20.00,     20.00,     20.00,0,0,0,3,3,3
H4,704,2017,020741,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020742,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020743,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020744,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020745,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020751,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020752,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020753,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020754,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020755,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,020760,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H4,704,2017,020810,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020830,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020840,     15.00,      5.00,     10.00,      7.50,0,0,0,2,2,2
H4,704,2017,020850,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020860,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H4,704,2017,020890,     15.00,      5.00,     10.00,      7.50,0,0,0,2,2,2
H4,704,2017,020910,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,020990,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,021011,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,021012,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,021019,     20.00,     10.00,     10.00,     10.00,0,0,0,2,2,2
H4,704,2017,021020,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,021091,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,021092,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H4,704,2017,021093,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,021099,     60.00,     20.00,     20.00,     20.00,0,0,0,3,3,3
H4,704,2017,030111,    135.00,     15.00,     20.00,     19.29,0,0,0,7,7,7
H4,704,2017,030119,     35.00,     15.00,     20.00,     17.50,0,0,0,2,2,2
H4,704,2017,030191,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030192,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030193,     20.00,      0.00,     20.00,     10.00,0,1,0,1,2,2
H4,704,2017,030194,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030195,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030199,     80.00,      0.00,     20.00,     11.43,0,3,0,4,7,7
H4,704,2017,030211,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,030213,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,030214,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,030219,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030221,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030222,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030223,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030224,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030229,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030231,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030232,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030233,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030234,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030235,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030236,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030239,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030241,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030242,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030243,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030244,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030245,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030246,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030247,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030251,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030252,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030253,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030254,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030255,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030256,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030259,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030271,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030272,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H4,704,2017,030273,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H4,704,2017,030274,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030279,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030281,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030282,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030283,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030284,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030285,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030289,    216.00,     12.00,     20.00,     15.43,0,0,0,14,14,14
H4,704,2017,030290,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030311,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030312,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H4,704,2017,030313,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,030314,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,704,2017,030319,     16.00,     16.00,     16.00,     16.00,0,0,0,1,1,1
H4,704,2017,030323,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030324,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030325,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,704,2017,030326,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,704,2017,030329,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
