NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,096,2017,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010130,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010190,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010229,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,096,2017,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010239,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010290,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010410,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010420,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010511,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010512,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010513,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010514,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010515,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,096,2017,010594,      0.00,      0.00,      0.00,      0.00,0,5,0,0,5,5
H5,096,2017,010599,      0.00,      0.00,      0.00,      0.00,0,4,0,0,4,4
H5,096,2017,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010619,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010633,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010639,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,096,2017,020110,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
