NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,604,2017,020726,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020727,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020741,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020742,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020743,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020744,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020745,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020751,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020752,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020753,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020754,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020755,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020760,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020810,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020830,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020840,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020850,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020860,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020890,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020910,     22.00,     11.00,     11.00,     11.00,0,0,0,2,2,2
H5,604,2017,020990,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,021011,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,021012,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,021019,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,021020,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,021091,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,021092,     17.00,      6.00,     11.00,      8.50,0,0,0,2,2,2
H5,604,2017,021093,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,021099,     22.00,     11.00,     11.00,     11.00,0,0,0,2,2,2
H5,604,2017,030111,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,030119,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,030191,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,604,2017,030192,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,030193,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,030194,      6.00,      0.00,      6.00,      2.00,0,2,0,1,3,3
H5,604,2017,030195,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,030199,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,604,2017,030211,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,030213,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
